Indice,Matrícula,Nota_Final_AEDSI,Nota_Final_AEDSII
210,16-95295,91.0,33.0
211,16-96416,77.5,0.0
212,16-95950,91.0,74.0
213,16-29664,75.5,22.0
214,16-95966,84.5,14.0
215,16-96550,98.5,18.0
216,16-95199,100.0,61.0
217,16-95725,80.5,60.0
218,16-95704,86.0,48.0
219,16-96326,88.5,60.0
220,16-96014,68.0,60.0
221,16-92475,89.0,33.5
222,16-54040,88.5,67.0
223,16-95168,87.5,60.0
224,16-96487,90.5,66.0
225,16-95387,82.0,27.0
226,16-95185,77.5,24.0
227,16-96486,71.5,0.0
228,16-95289,71.0,0.0
229,16-94460,63.0,26.0
230,16-95466,65.5,22.0
231,16-96478,71.5,60.0
232,16-94260,65.0,0.0
233,16-95970,89.0,16.0
234,16-96560,75.5,60.0
